Workload, Action, Type, Result
B, [CLEANUP], MinLatency(us), 609
B, [CLEANUP], MaxLatency(us), 609
B, [CLEANUP], 95thPercentileLatency(us), 609
B, [CLEANUP], 99thPercentileLatency(us), 609
B, [UPDATE], Operations, 46
B, [UPDATE], AverageLatency(us), 669.7826086956521
B, [UPDATE], MinLatency(us), 345
B, [UPDATE], MaxLatency(us), 1513
B, [UPDATE], 95thPercentileLatency(us), 1400
B, [UPDATE], 99thPercentileLatency(us), 1513
B, [UPDATE], Return=OK, 46
C, [OVERALL], RunTime(ms), 361
C, [OVERALL], Throughput(ops/sec), 2770.083102493075
C, [TOTAL_GCS_scavenge], Count, 13
C, [TOTAL_GC_TIME_scavenge], Time(ms), 22
C, [TOTAL_GC_TIME_%_scavenge], Time(%), 6.094182825484765
C, [TOTAL_GCS_global], Count, 0
C, [TOTAL_GC_TIME_global], Time(ms), 0
C, [TOTAL_GC_TIME_%_global], Time(%), 0.0
C, [TOTAL_GCs], Count, 13
C, [TOTAL_GC_TIME], Time(ms), 22
C, [TOTAL_GC_TIME_%], Time(%), 6.094182825484765
C, [READ], Operations, 1000
C, [READ], AverageLatency(us), 270.055
C, [READ], MinLatency(us), 138
C, [READ], MaxLatency(us), 11807
C, [READ], 95thPercentileLatency(us), 426
C, [READ], 99thPercentileLatency(us), 1447
C, [READ], Return=OK, 1000
C, [CLEANUP], Operations, 1
C, [CLEANUP], AverageLatency(us), 810.0
C, [CLEANUP], MinLatency(us), 810
C, [CLEANUP], MaxLatency(us), 810
C, [CLEANUP], 95thPercentileLatency(us), 810
C, [CLEANUP], 99thPercentileLatency(us), 810
A, [OVERALL], RunTime(ms), 393
A, [OVERALL], Throughput(ops/sec), 2544.529262086514
A, [TOTAL_GCS_scavenge], Count, 13
A, [TOTAL_GC_TIME_scavenge], Time(ms), 25
A, [TOTAL_GC_TIME_%_scavenge], Time(%), 6.361323155216285
A, [TOTAL_GCS_global], Count, 0
A, [TOTAL_GC_TIME_global], Time(ms), 0
A, [TOTAL_GC_TIME_%_global], Time(%), 0.0
A, [TOTAL_GCs], Count, 13
A, [TOTAL_GC_TIME], Time(ms), 25
A, [TOTAL_GC_TIME_%], Time(%), 6.361323155216285
A, [READ], Operations, 483
A, [READ], AverageLatency(us), 229.58178053830227
A, [READ], MinLatency(us), 133
A, [READ], MaxLatency(us), 10183
A, [READ], 95thPercentileLatency(us), 249
A, [READ], 99thPercentileLatency(us), 329
A, [READ], Return=OK, 483
A, [CLEANUP], Operations, 1
A, [CLEANUP], AverageLatency(us), 502.0
A, [CLEANUP], MinLatency(us), 502
A, [CLEANUP], MaxLatency(us), 502
A, [CLEANUP], 95thPercentileLatency(us), 502
A, [CLEANUP], 99thPercentileLatency(us), 502
A, [UPDATE], Operations, 517
A, [UPDATE], AverageLatency(us), 339.7001934235977
A, [UPDATE], MinLatency(us), 199
A, [UPDATE], MaxLatency(us), 3599
A, [UPDATE], 95thPercentileLatency(us), 476
A, [UPDATE], 99thPercentileLatency(us), 736
A, [UPDATE], Return=OK, 517
B, [OVERALL], RunTime(ms), 375
B, [OVERALL], Throughput(ops/sec), 2666.6666666666665
B, [TOTAL_GCS_scavenge], Count, 13
B, [TOTAL_GC_TIME_scavenge], Time(ms), 30
B, [TOTAL_GC_TIME_%_scavenge], Time(%), 8.0
B, [TOTAL_GCS_global], Count, 0
B, [TOTAL_GC_TIME_global], Time(ms), 0
B, [TOTAL_GC_TIME_%_global], Time(%), 0.0
B, [TOTAL_GCs], Count, 13
B, [TOTAL_GC_TIME], Time(ms), 30
B, [TOTAL_GC_TIME_%], Time(%), 8.0
B, [READ], Operations, 955
B, [READ], AverageLatency(us), 260.64712041884815
B, [READ], MinLatency(us), 126
B, [READ], MaxLatency(us), 13455
B, [READ], 95thPercentileLatency(us), 295
B, [READ], 99thPercentileLatency(us), 1611
B, [READ], Return=OK, 955
B, [CLEANUP], Operations, 1
B, [CLEANUP], AverageLatency(us), 696.0
B, [CLEANUP], MinLatency(us), 696
B, [CLEANUP], MaxLatency(us), 696
B, [CLEANUP], 95thPercentileLatency(us), 696
B, [CLEANUP], 99thPercentileLatency(us), 696
B, [UPDATE], Operations, 45
B, [UPDATE], AverageLatency(us), 563.3555555555556
B, [UPDATE], MinLatency(us), 412
